,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
710,11.5,17.9,20.4606640625,59728,49.45519419988546,989.1855982970308,0
711,11.5,17.9,20.45578125,60011,49.73978408826053,989.1553079524373,0
712,11.5,17.9,20.447578125,59647,49.98713294321671,989.0955245914404,0
713,12.2,16.8,20.4409375,59607,50.20390682768455,989.021021772336,0
714,12.2,16.8,20.434296875,59567,49.66891019815309,988.9051427355267,0
715,12.2,16.8,20.42765625,60257,49.4325766505609,988.849608061676,0
716,12.2,16.8,20.4239453125,60216,49.43831703535464,988.9539625120976,0
717,12.2,16.8,20.4200390625,59889,49.84710705403155,989.0717933750424,0
718,12.2,16.8,20.4102734375,59971,49.92041812588339,989.1905150702806,0
719,12.2,16.8,20.398359375,59930,50.11779763736668,989.3712789323654,0
720,12.2,16.8,20.3856640625,59647,50.110013156700326,989.6042191793247,0
721,12.2,16.8,20.373359375,59849,49.87861750078051,989.86536537369,0
722,12.2,16.8,20.3606640625,60093,49.85222305107486,990.117252718458,0
723,12.2,16.8,20.3508984375,60257,49.81378004282099,990.3514525131488,0
724,12.3,17.4,20.34171875,60216,49.787828808288744,990.5831454215182,0
725,12.3,17.4,20.335078125,59808,50.172164534012296,990.7396361021223,0
726,12.3,17.4,20.330390625,59930,50.059683072172156,990.8751459096014,0
727,12.3,17.4,20.3196484375,60011,49.958950690965565,990.9836293053984,0
728,12.3,17.4,20.3114453125,60421,49.83376062358453,990.996228940875,0
729,12.3,17.4,20.301875,60380,49.789143210470506,990.9428361591563,0
730,12.3,17.4,20.2940625,60421,49.34816341318074,990.8129903241561,0
731,12.3,17.4,20.2848828125,60628,49.32228754952976,990.7257569770356,0
732,12.3,17.4,20.27765625,60670,49.25953050923897,990.6658143874984,0
733,12.3,17.4,20.2688671875,60712,49.258460978658036,990.7360757579187,0
734,12.4,17.9,20.2583203125,61047,49.42428822027849,990.8982985233392,0
735,12.4,17.9,20.24796875,60504,49.93771176136858,991.0935823843253,0
736,12.4,17.9,20.2356640625,60587,49.86790357883178,991.3718868226816,0
737,12.4,17.9,20.22140625,60545,49.72344166776904,991.7090752562427,0
738,12.4,17.9,20.209296875,60216,49.535989313967704,991.83254887035,0
739,12.4,17.9,20.19640625,61089,49.39816465810915,991.8013525277264,0
740,12.4,17.9,20.183515625,61047,49.57621392318193,991.9390667806073,0
741,12.4,17.9,20.1712109375,60879,49.61809326680664,992.2207788037576,0
742,12.4,17.9,20.1591015625,60753,49.44934149356245,992.5993169284984,0
743,12.4,17.9,20.1426953125,60963,49.608409693686205,992.9467556435977,0
744,12.4,17.9,20.1262890625,60587,50.08425681961635,993.2424745255856,0
745,7.5,14.0,20.1079296875,60545,50.23741394331731,993.4764167457947,0
746,7.5,14.0,20.08859375,60753,50.00506841646792,993.6329322814854,0
747,7.5,14.0,20.0690625,61216,49.611809088705776,993.7494832842681,0
748,7.5,14.0,20.0520703125,60921,50.056485860424154,993.7960394037393,0
749,7.5,14.0,20.038984375,60380,50.228912014826356,993.8420322025696,0
750,7.5,14.0,20.0204296875,59849,50.01532630543856,993.9549782782286,0
751,7.5,14.0,20.0055859375,61729,49.852094703296636,993.843023950324,0
752,7.5,14.0,19.9903515625,62294,49.26172618569468,993.6408365342807,0
753,7.5,14.0,19.978046875,62514,49.377774488360565,993.3951604694804,0
754,7.5,14.0,19.963203125,62119,49.61128064880706,993.0764586888047,0
755,7.9,14.8,19.94015625,62338,49.280372795091,992.7083043109179,0
756,7.9,14.8,19.9196484375,62470,49.34592726441744,992.2564223311864,0
757,7.9,14.8,19.8977734375,62514,49.38658258519599,991.8213124795948,0
758,7.9,14.8,19.87375,63004,49.482697650295094,991.5154102878917,0
759,7.9,14.8,19.84875,62959,50.26144322328408,991.2200104679872,0
760,7.9,14.8,19.8251171875,62470,50.61954138499272,990.9854117110235,0
761,7.9,14.8,19.8024609375,62780,49.982375262792615,990.8368105562596,0
762,7.9,14.8,19.781171875,63547,49.21782168891416,990.7799951416838,0
763,7.9,14.8,19.76515625,63730,48.993500027985526,990.7609886967888,0
764,7.9,14.8,19.754609375,64100,48.572943805275834,990.6784856650966,0
765,7.9,14.8,19.749921875,64054,48.5785409300039,990.4969508411447,0
766,7.5,12.8,19.7503125,63869,48.886795986589725,990.2685129101927,0
767,7.5,12.8,19.7591015625,63822,48.450352201796605,990.0967049193672,0
768,7.5,12.8,19.7751171875,64100,47.42747701599089,990.0640233783267,0
769,7.5,12.8,19.8036328125,64757,47.08241331927007,990.1445479123172,0
770,7.5,12.8,19.8485546875,64900,46.45979799296683,990.255033028073,0
771,7.5,12.8,19.8946484375,64757,45.83950273109856,990.3484691675343,0
772,7.5,12.8,19.9571484375,64427,45.392498524630405,990.3788338665436,0
773,7.5,12.8,20.0175,66014,45.58091655868004,990.4367305999373,0
774,7.5,12.8,20.0700390625,65187,45.95063318318832,990.4320256612372,0
775,7.5,12.8,20.1231640625,64521,46.31519228756319,990.4179146576312,0
776,7.5,12.8,20.1719921875,64193,46.460799484540864,990.4175285108175,0
777,4.2,8.4,20.2204296875,63456,46.0651016192029,990.4096064826621,0
778,4.2,8.4,20.2700390625,63365,45.96760086918202,990.4104609591265,0
779,4.2,8.4,20.325703125,62470,45.87691052409316,990.4107419686225,0
780,4.2,8.4,20.3907421875,64054,45.79946748627217,990.4140839094388,0
781,4.2,8.4,20.45265625,64100,45.80659652611619,990.4175335166916,0
782,4.2,8.4,20.515546875,63274,46.72631450698698,990.4001272795423,0
783,4.2,8.4,20.5721875,62075,47.57067607877682,990.4053738565166,0
784,4.2,8.4,20.6028515625,61557,47.90565189309041,990.389357010946,0
785,4.2,8.4,20.631171875,61471,47.34488775582261,990.3798982187477,0
786,4.2,8.4,20.664375,61005,46.8047721700565,990.3696952058044,0
787,3.4,7.3,20.70265625,61216,46.717734387316135,990.3607857150932,0
788,3.4,7.3,20.7466015625,61047,46.88769410766837,990.3541131829618,0
789,3.4,7.3,20.78234375,60380,46.89800629280682,990.3324634754404,0
790,3.4,7.3,20.8169140625,59971,46.908183235556365,990.3313414274812,0
791,3.4,7.3,20.8356640625,60134,46.54427851594747,990.4150915464882,0
792,3.4,7.3,20.853046875,60421,46.38181055763766,990.3758681853017,0
